sex,age,studytime,failures,goout,Dalc,Walc
M,18,1,1,5,2,5
M,17,2,0,2,5,5
F,17,2,0,4,2,3
M,16,1,0,2,2,1
F,19,2,1,3,1,3
M,15,2,0,2,1,1
M,18,2,1,3,1,3
M,18,1,3,5,2,5
M,18,3,0,2,1,2
M,17,1,0,2,1,1
F,17,3,1,4,1,1
M,18,2,0,2,1,1
M,15,2,0,1,1,1
F,16,4,0,5,1,1
F,17,3,0,3,1,2
F,16,2,0,2,1,1
F,18,2,0,4,1,1
F,16,2,0,3,1,1
M,18,1,0,3,2,3
F,15,3,0,2,1,1
F,18,2,0,4,1,1
M,18,1,0,2,2,2
M,16,2,1,5,4,4
M,17,1,0,4,2,4
M,17,2,0,4,4,4
F,18,3,0,4,1,1
M,17,1,0,3,1,2
M,17,2,0,3,1,5
F,17,2,0,3,1,3
M,17,2,0,5,4,5
M,19,1,1,4,1,1
F,17,2,0,5,1,2
M,15,3,0,3,1,1
F,15,2,2,4,2,4
M,15,2,0,2,1,1
F,17,2,0,3,1,1
F,15,2,0,4,1,1
F,18,3,0,3,2,3
F,15,1,0,4,4,4
F,18,3,0,3,1,3
M,15,1,0,2,1,2
F,16,2,0,3,1,1
F,15,2,0,3,1,2
F,16,2,0,4,1,1
M,16,1,2,5,2,4
F,15,3,0,2,1,1
M,15,2,0,3,1,2
F,15,4,1,2,1,1
F,16,1,0,2,1,1
M,17,2,0,3,1,2
F,18,3,0,3,1,1
M,15,2,0,1,1,1
M,16,2,0,3,1,2
M,16,3,0,3,1,1
M,16,2,0,2,1,1
M,18,2,0,3,5,5
M,17,2,0,4,4,5
M,15,2,0,3,1,1
M,15,2,0,3,2,2
F,16,1,0,4,1,2
M,18,2,0,4,1,2
M,18,2,0,2,4,5
M,15,1,0,3,2,4
M,15,2,0,1,1,1
M,15,2,0,3,2,3
M,15,1,0,3,1,1
F,16,2,3,5,1,1
F,17,1,0,5,1,3
F,15,2,0,2,1,1
F,16,2,0,3,1,2
F,17,4,0,2,1,1
F,15,1,0,5,1,3
M,15,1,1,5,3,4
M,17,2,0,3,1,1
F,16,2,0,5,1,5
F,16,2,0,2,1,2
F,17,2,0,2,1,2
F,18,3,0,2,1,2
M,16,1,0,3,1,1
